Unnamed: 0,geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,DemandGen_spend,Conversions,Population,Revenue_Per_Conversion
113,Alaska,2024-01-15,170.00,261.00,341.00,0.00,25.04,0.00,3.76,0.00,0.00,732673.00,0.00
114,Alaska,2024-01-22,215.00,16.00,1331.00,0.00,48.64,0.00,6.28,0.00,0.00,732673.00,0.00
115,Alaska,2024-01-29,143.00,91.00,708.00,0.00,38.24,0.00,6.13,0.00,0.00,732673.00,0.00
116,Alaska,2024-02-05,174.00,60.00,1116.00,44.00,32.27,0.14,10.36,0.22,0.00,732673.00,0.00
117,Alaska,2024-02-12,253.00,28.00,714.00,92.00,55.90,0.00,7.13,1.03,1.00,732673.00,588.00
118,Alaska,2024-02-19,305.00,306.00,1155.00,56.00,116.53,62.23,11.03,0.26,2.00,732673.00,1176.00
119,Alaska,2024-02-26,168.00,54.00,461.00,31.00,21.08,0.00,4.66,0.15,2.00,732673.00,1176.00
120,Alaska,2024-03-04,180.00,162.00,529.00,44.00,21.87,0.00,3.66,0.72,0.00,732673.00,0.00
121,Alaska,2024-03-11,312.00,151.00,846.00,139.00,65.94,0.00,10.87,0.59,2.00,732673.00,1176.00
122,Alaska,2024-03-18,317.00,112.00,735.00,32.00,47.61,0.00,9.30,0.05,0.00,732673.00,0.00
123,Alaska,2024-03-25,121.00,115.00,566.00,0.00,12.48,1.65,9.47,0.00,0.00,732673.00,0.00
124,Alaska,2024-04-01,47.00,82.00,354.00,0.00,22.94,0.00,3.36,0.00,1.00,732673.00,588.00
125,Alaska,2024-04-08,49.00,4.00,275.00,0.00,16.28,0.00,2.95,0.00,0.00,732673.00,0.00
126,Alaska,2024-04-15,37.00,38.00,257.00,0.00,12.53,3.31,2.78,0.00,0.00,732673.00,0.00
127,Alaska,2024-04-22,58.00,73.00,257.00,0.00,38.87,0.00,2.83,0.00,0.00,732673.00,0.00
128,Alaska,2024-04-29,58.00,95.00,363.00,0.00,18.69,0.16,3.76,0.00,0.00,732673.00,0.00
129,Alaska,2024-05-06,71.00,179.00,316.00,0.00,38.18,15.88,3.74,0.00,0.00,732673.00,0.00
130,Alaska,2024-05-13,83.00,353.00,300.00,0.00,44.62,0.00,4.28,0.00,1.00,732673.00,588.00
131,Alaska,2024-05-20,78.00,69.00,285.00,0.00,42.32,0.00,3.45,0.00,0.00,732673.00,0.00
132,Alaska,2024-05-27,54.00,36.00,300.00,0.00,25.20,0.00,3.95,0.00,1.00,732673.00,588.00
133,Alaska,2024-06-03,95.00,86.00,146.00,0.00,43.95,0.00,3.08,0.00,0.00,732673.00,0.00
134,Alaska,2024-06-10,86.00,45.00,73.00,0.00,38.74,0.00,1.89,0.00,0.00,732673.00,0.00
135,Alaska,2024-06-17,91.00,59.00,269.00,0.00,30.23,0.00,3.45,0.00,1.00,732673.00,588.00
136,Alaska,2024-06-24,118.00,31.00,249.00,0.00,66.99,0.00,2.85,0.00,2.00,732673.00,1176.00
137,Alaska,2024-07-01,91.00,236.00,284.00,0.00,37.70,0.00,3.04,0.00,0.00,732673.00,0.00
138,Alaska,2024-07-08,52.00,95.00,178.00,0.00,12.09,0.00,2.01,0.00,0.00,732673.00,0.00
0,Alaska,2024-07-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Alaska,2024-07-22,131.00,169.00,286.00,0.00,27.99,0.90,4.82,0.00,0.00,732673.00,0.00
140,Alaska,2024-07-29,117.00,569.00,227.00,0.00,23.37,2.58,4.71,0.00,0.00,732673.00,0.00
141,Alaska,2024-08-05,123.00,127.00,233.00,0.00,20.36,0.00,3.70,0.00,0.00,732673.00,0.00
142,Alaska,2024-08-12,100.00,37.00,251.00,19.00,37.32,1.24,3.99,0.25,1.00,732673.00,588.00
143,Alaska,2024-08-19,127.00,10.00,244.00,47.00,35.38,0.00,3.06,0.57,0.00,732673.00,0.00
144,Alaska,2024-08-26,119.00,31.00,228.00,253.00,58.21,0.00,2.91,1.07,0.00,732673.00,0.00
145,Alaska,2024-09-02,147.00,48.00,248.00,40.00,31.88,0.00,3.85,0.78,0.00,732673.00,0.00
146,Alaska,2024-09-09,116.00,79.00,222.00,31.00,19.83,13.39,2.92,0.16,0.00,732673.00,0.00
147,Alaska,2024-09-16,84.00,309.00,151.00,40.00,44.98,3.41,2.62,1.87,2.00,732673.00,1176.00
148,Alaska,2024-09-23,96.00,363.00,168.00,27.00,61.98,0.44,2.10,0.18,0.00,732673.00,0.00
149,Alaska,2024-09-30,76.00,486.00,155.00,38.00,18.09,0.98,2.99,1.52,0.00,732673.00,0.00
150,Alaska,2024-10-07,83.00,33.00,116.00,16.00,24.28,0.00,1.50,0.34,0.00,732673.00,0.00
151,Alaska,2024-10-14,95.00,53.00,100.00,24.00,71.87,0.00,1.43,0.34,0.00,732673.00,0.00
152,Alaska,2024-10-21,92.00,5.00,227.00,43.00,28.45,0.00,1.46,0.17,0.00,732673.00,0.00
153,Alaska,2024-10-28,69.00,14.00,65.00,36.00,21.16,0.00,1.30,0.10,0.00,732673.00,0.00
154,Alaska,2024-11-04,130.00,256.00,88.00,38.00,2.16,4.05,1.91,0.58,0.00,732673.00,0.00
155,Alaska,2024-11-11,159.00,874.00,89.00,35.00,42.86,6.92,2.04,0.55,1.00,732673.00,588.00
156,Alaska,2024-11-18,128.00,338.00,363.00,21.00,50.92,3.46,3.57,1.28,1.00,732673.00,588.00
157,Alaska,2024-11-25,90.00,74.00,244.00,33.00,23.06,4.03,2.49,0.31,0.00,732673.00,0.00
158,Alaska,2024-12-02,94.00,203.00,245.00,56.00,28.88,0.24,2.76,0.48,0.00,732673.00,0.00
159,Alaska,2024-12-09,104.00,94.00,287.00,40.00,71.07,0.09,4.46,0.24,0.00,732673.00,0.00
160,Alaska,2024-12-16,112.00,189.00,197.00,21.00,11.73,4.84,3.41,2.01,0.00,732673.00,0.00
161,Alaska,2024-12-23,72.00,14.00,201.00,13.00,35.19,0.00,3.09,0.05,0.00,732673.00,0.00
162,Alaska,2024-12-30,70.00,73.00,345.00,62.00,6.05,1.09,1.85,0.26,0.00,732673.00,0.00
163,Alaska,2025-01-06,50.00,57.00,490.00,290.00,9.10,0.40,2.62,0.97,1.00,732673.00,588.00
164,Alaska,2025-01-13,152.00,89.00,476.00,125.00,12.57,2.24,2.64,1.16,0.00,732673.00,0.00
165,Alaska,2025-01-20,210.00,66.00,264.00,144.00,32.48,0.04,2.13,1.60,2.00,732673.00,1176.00
166,Alaska,2025-01-27,171.00,17.00,261.00,291.00,38.58,0.00,2.91,1.77,0.00,732673.00,0.00
167,Alaska,2025-02-03,135.00,35.00,189.00,282.00,25.43,1.51,1.54,1.76,1.00,732673.00,588.00
168,Alaska,2025-02-10,121.00,11.00,89.00,47.00,61.75,0.44,1.53,1.09,0.00,732673.00,0.00
169,Alaska,2025-02-17,124.00,9.00,100.00,78.00,86.43,0.00,1.96,3.21,1.00,732673.00,588.00
170,Arizona,2023-09-25,187.00,93.00,0.00,0.00,39.20,1.22,0.00,0.00,0.00,7359197.00,0.00
171,Arizona,2023-10-02,871.00,293.00,821.00,0.00,289.00,5.54,14.71,0.00,6.00,7359197.00,3528.00
172,Arizona,2023-10-09,577.00,11.00,1551.00,0.00,160.62,0.00,17.54,0.00,1.00,7359197.00,588.00
173,Arizona,2023-10-16,561.00,36.00,930.00,0.00,321.26,0.00,12.93,0.00,2.00,7359197.00,1176.00
174,Arizona,2023-10-23,669.00,1565.00,721.00,0.00,255.96,4.47,9.32,0.00,2.00,7359197.00,1176.00
175,Arizona,2023-10-30,729.00,4618.00,740.00,0.00,265.57,1.71,13.32,0.00,1.00,7359197.00,588.00
176,Arizona,2023-11-06,751.00,111.00,771.00,0.00,286.16,14.58,12.30,0.00,3.00,7359197.00,1764.00
177,Arizona,2023-11-13,841.00,97.00,761.00,0.00,208.56,0.48,13.55,0.00,1.00,7359197.00,588.00
178,Arizona,2023-11-20,931.00,71.00,649.00,0.00,234.18,16.98,10.94,0.00,1.00,7359197.00,588.00
179,Arizona,2023-11-27,875.00,73.00,624.00,0.00,304.35,32.46,9.54,0.00,2.00,7359197.00,1176.00
180,Arizona,2023-12-04,850.00,250.00,947.00,0.00,360.91,6.70,15.07,0.00,3.00,7359197.00,1764.00
181,Arizona,2023-12-11,837.00,225.00,1132.00,0.00,336.78,1.98,23.18,0.00,4.00,7359197.00,2352.00
182,Arizona,2023-12-18,963.00,194.00,1672.00,0.00,565.64,1.41,29.42,0.00,4.00,7359197.00,2352.00
183,Arizona,2023-12-25,1965.00,1959.00,3080.00,0.00,711.29,0.19,41.89,0.00,4.00,7359197.00,2352.00
