geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,Demand Gen_spend,Conversions,Population,Revenue_Per_Conversion
Hawaii,10/16/23,208,23,"1,318",,$72.31,$0.00,$17.47, --,0,1455271,$0
Idaho,10/16/23,89,21,167,,$31.22,$0.00,$2.78, --,0,1839106,$0
Illinois,10/16/23,"1,076",336,"2,136",,$446.60,$30.11,$25.58, --,4,12671469,"$2,352"
Indiana,10/16/23,371,76,726,,$128.44,$5.01,$8.04, --,0,6785528,$0
Iowa,10/16/23,148,31,254,,$39.46,$1.75,$2.48, --,0,3190369,$0
Kansas,10/16/23,166,26,269,,$32.16,$0.00,$2.80, --,0,2937880,$0
Kentucky,10/16/23,227,112,379,,$67.32,$12.00,$4.07, --,1,4505836,$588
Louisiana,10/16/23,"10,890",63,491,,$460.61,$7.26,$7.24, --,23,4657757,"$13,524"
Maine,10/16/23,153,18,120,,$72.35,$0.00,$1.56, --,0,1372247,$0
Maryland,10/16/23,639,60,"1,121",,$231.10,$24.40,$13.25, --,2,6165129,"$1,176"
Massachusetts,10/16/23,"1,831",527,"1,239",,$466.38,$66.54,$14.16, --,2,6984723,"$1,176"
Michigan,10/16/23,847,107,"1,045",,$240.09,$1.53,$11.24, --,5,10077331,"$2,940"
Minnesota,10/16/23,705,41,685,,$208.15,$9.82,$9.15, --,1,5706398,$588
Mississippi,10/16/23,137,25,251,,$51.95,$0.42,$2.07, --,0,2949965,$0
Missouri,10/16/23,420,60,629,,$114.92,$3.66,$7.79, --,0,6168187,$0
Montana,10/16/23,70,10,90,,$37.48,$0.00,$1.86, --,0,1084225,$0
Nebraska,10/16/23,118,18,211,,$33.23,$3.04,$2.26, --,2,1961504,"$1,176"
Nevada,10/16/23,361,29,844,,$108.21,$5.29,$10.70, --,1,3104614,$588
New Hampshire,10/16/23,101,8,128,,$35.60,$0.00,$1.56, --,0,1388992,$0
New Jersey,10/16/23,821,84,"1,341",,$320.81,$5.03,$20.28, --,2,9288994,"$1,176"
New Mexico,10/16/23,123,10,224,,$24.15,$3.00,$2.82, --,1,2117522,$588
New York,10/16/23,"2,405",934,"3,975",,$882.58,$57.12,$66.47, --,5,19835913,"$2,940"
